fraud_YN,car_model,sharing_type,age_group,has_previous_accident,cumulative_use_count,b2b,accident_ratio,pf_type,socarpass,socarsave,start_hour,duration,accident_hour,repair_cost,insure_cost,accident_location,car_part1,car_part2,repair_cnt,acc_type1,insurance_site_aid_YN,police_site_aid_YN,total_prsn_cnt,test_set
0,1,0,3,1,3,0,100,1,1,0,2,4,1,127201.8339,0,1,0,0,2,0,0,0,-1,1
0,1,0,2,0,2,0,100,3,0,0,1,1,1,241539.3902,0,1,0,1,1,0,0,0,-1,0
0,2,0,2,0,2,0,100,1,0,1,6,1,2,232006.376,0,4,0,0,1,0,0,0,-1,1
0,2,0,3,0,2,0,100,1,0,1,2,2,1,209106.7895,0,0,1,0,1,0,0,0,-1,0
0,1,0,2,0,4,0,100,1,0,0,2,1,2,0,469000,0,0,1,1,1,1,1,1,1
1,2,0,2,0,1,0,100,1,0,1,4,2,4,0,0,2,0,1,1,0,0,0,-1,1
0,2,0,3,0,4,0,0,2,1,1,4,2,6,736118.0306,0,3,0,1,1,1,1,1,0,1
0,2,0,4,0,4,0,100,2,0,0,4,2,2,89346.56816,0,0,0,0,1,0,0,0,-1,0
0,2,0,3,0,4,0,100,2,0,0,2,3,2,154407.9657,0,3,1,0,1,0,0,0,-1,0
0,1,0,2,0,4,0,100,1,0,0,6,2,2,0,0,4,0,0,1,0,0,0,-1,0
0,1,0,2,0,4,0,0,2,0,0,5,1,6,0,0,1,0,1,1,0,0,0,-1,0
0,2,0,3,0,3,0,100,2,0,0,1,1,1,751071.2676,0,0,1,0,1,0,0,0,-1,0
0,2,0,4,0,4,0,100,2,0,0,1,2,1,431401.8652,0,1,0,0,1,0,0,0,-1,0
0,2,0,3,0,4,0,100,3,0,0,2,4,2,2105434.986,100000,1,1,1,7,1,1,1,0,0
0,1,0,2,0,4,0,100,2,0,0,1,5,1,512563.7162,4070000,1,0,0,1,0,0,0,-1,0
0,1,0,1,0,4,0,100,2,0,0,1,3,3,726954.0772,75600,1,0,0,4,0,0,0,-1,0
0,2,0,1,1,4,0,100,2,0,0,1,1,1,333989.9189,0,4,0,1,1,1,1,1,2,0
0,2,0,2,1,4,0,100,2,0,0,2,1,2,682224.3435,0,2,1,0,3,0,0,0,-1,0
0,1,0,1,0,2,0,100,2,0,0,5,2,2,462522.3313,0,1,0,0,1,0,0,0,-1,0
0,1,0,3,0,1,0,100,1,0,0,5,3,6,100064.26,458000,1,0,1,1,0,0,0,-1,0
0,1,0,3,1,2,0,100,1,0,0,5,2,2,0,0,1,0,0,1,0,0,0,-1,0
0,3,1,3,0,4,0,100,3,0,0,2,2,2,0,0,0,0,0,1,0,0,0,-1,0
